Problem no : 4
Source:  (90.363833000000000, 23.834144999999999)
Destination:  (90.378360000000001, 23.756930000000001)
Step 1 Time : 19 : 15. Cost: 0.147890126853736৳ . Ride Metro from  Cantonment(90.363833000000000, 23.834144999999999) to (90.363832000000002, 23.833879000000000)
Step 2 Time : 19 : 30. Cost: 0.187349415990701৳ . Ride Metro from (90.363832000000002, 23.833879000000000) to (90.363860000000003, 23.833542999999999)
Step 3 Time : 19 : 45. Cost: 0.731115309842361৳ . Ride Metro from (90.363860000000003, 23.833542999999999) to (90.363853000000006, 23.832228000000001)
Step 4 Time : 20 : 0. Cost: 0.081734600149934৳ . Ride Metro from (90.363853000000006, 23.832228000000001) to (90.363855000000001, 23.832080999999999)
Step 5 Time : 20 : 15. Cost: 0.015011315096645৳ . Ride Metro from (90.363855000000001, 23.832080999999999) to (90.363855000000001, 23.832053999999999)
Step 6 Time : 20 : 30. Cost: 0.126289213746028৳ . Ride Metro from (90.363855000000001, 23.832053999999999) to (90.363845999999995, 23.831827000000001)
Step 7 Time : 20 : 45. Cost: 0.102361257135778৳ . Ride Metro from (90.363845999999995, 23.831827000000001) to (90.363838999999999, 23.831643000000000)
Step 8 Time : 21 : 0. Cost: 0.106868208998254৳ . Ride Metro from (90.363838999999999, 23.831643000000000) to (90.363828999999996, 23.831451000000001)
Step 9 Time : 21 : 15. Cost: 1.173277052382887৳ . Ride Metro from (90.363828999999996, 23.831451000000001) to (90.364155999999994, 23.829362000000000)
Step 10 Time : 21 : 30. Cost: 0.035604893486323৳ . Ride Metro from (90.364155999999994, 23.829362000000000) to (90.364226000000002, 23.829363000000001)
Step 11 Time : 21 : 45. Cost: 0.571732191262428৳ . Ride Metro from (90.364226000000002, 23.829363000000001) to   Mirpur12 (90.364255000000000, 23.828334999999999)
Step 12 Time : 22 : 0. Cost: 0.384214949168338৳ . Ride Bikolpo Bus from   Mirpur12(90.364255000000000, 23.828334999999999) to (90.364282000000003, 23.827842000000000)
Step 13 Time : 22 : 15. Cost: 0.032640344180403৳ . Ride Bikolpo Bus from (90.364282000000003, 23.827842000000000) to (90.364237000000003, 23.827833999999999)
Step 14 Time : 22 : 16. Cost: 0.166842007653698৳ . Ride Car from (90.364237000000003, 23.827833999999999) to (90.364234999999994, 23.827908999999998)
Step 15 Time : 22 : 17. Cost: 0.138353000235133৳ . Ride Car from (90.364234999999994, 23.827908999999998) to (90.364166999999995, 23.827908000000001)
Step 16 Time : 22 : 18. Cost: 0.335666114656017৳ . Ride Car from (90.364166999999995, 23.827908000000001) to (90.364001999999999, 23.827908000000001)
Step 17 Time : 22 : 19. Cost: 0.063103742412241৳ . Ride Car from (90.364001999999999, 23.827908000000001) to (90.363971000000006, 23.827907000000000)
Step 18 Time : 22 : 20. Cost: 0.813982183737483৳ . Ride Car from (90.363971000000006, 23.827907000000000) to (90.363570999999993, 23.827898000000001)
Step 19 Time : 22 : 21. Cost: 0.122331335776331৳ . Ride Car from (90.363570999999993, 23.827898000000001) to (90.363572000000005, 23.827843000000001)
Step 20 Time : 22 : 22. Cost: 1.101508152869523৳ . Ride Car from (90.363572000000005, 23.827843000000001) to (90.363591000000000, 23.827348000000001)
Step 21 Time : 22 : 23. Cost: 1.131966181299676৳ . Ride Car from (90.363591000000000, 23.827348000000001) to (90.363590000000002, 23.826839000000000)
Step 22 Time : 22 : 24. Cost: 1.023025689424109৳ . Ride Car from (90.363590000000002, 23.826839000000000) to (90.363594000000006, 23.826378999999999)
Step 23 Time : 22 : 25. Cost: 1.916887181599724৳ . Ride Car from (90.363594000000006, 23.826378999999999) to (90.362651999999997, 23.826359000000000)
Step 24 Time : 22 : 26. Cost: 1.959703894641279৳ . Ride Car from (90.362651999999997, 23.826359000000000) to (90.361688999999998, 23.826336999999999)
Step 25 Time : 22 : 27. Cost: 0.449946492896124৳ . Ride Car from (90.361688999999998, 23.826336999999999) to (90.361468000000002, 23.826329000000001)
Step 26 Time : 22 : 28. Cost: 1.205368455775925৳ . Ride Car from (90.361468000000002, 23.826329000000001) to (90.361470999999995, 23.825786999999998)
Step 27 Time : 22 : 29. Cost: 0.974144034107458৳ . Ride Car from (90.361470999999995, 23.825786999999998) to (90.361476999999994, 23.825348999999999)
Step 28 Time : 22 : 30. Cost: 1.139428685169231৳ . Ride Car from (90.361476999999994, 23.825348999999999) to (90.362037000000001, 23.825358000000001)
Step 29 Time : 22 : 31. Cost: 1.048327088313209৳ . Ride Car from (90.362037000000001, 23.825358000000001) to (90.362058000000005, 23.824887000000000)
Step 30 Time : 22 : 32. Cost: 1.072501678288414৳ . Ride Car from (90.362058000000005, 23.824887000000000) to (90.362109000000004, 23.824407000000001)
Step 31 Time : 22 : 33. Cost: 1.058915835463180৳ . Ride Car from (90.362109000000004, 23.824407000000001) to (90.361588999999995, 23.824386000000001)
Step 32 Time : 22 : 34. Cost: 1.964722401931773৳ . Ride Car from (90.361588999999995, 23.824386000000001) to (90.361660999999998, 23.823505000000001)
Step 33 Time : 22 : 35. Cost: 2.490278111937131৳ . Ride Car from (90.361660999999998, 23.823505000000001) to (90.361729999999994, 23.822386999999999)
Step 34 Time : 22 : 36. Cost: 0.567761867196089৳ . Ride Car from (90.361729999999994, 23.822386999999999) to (90.361451000000002, 23.822381000000000)
Step 35 Time : 22 : 37. Cost: 2.894901157661000৳ . Ride Car from (90.361451000000002, 23.822381000000000) to (90.361542999999998, 23.821082000000001)
Step 36 Time : 22 : 38. Cost: 1.073932933159703৳ . Ride Car from (90.361542999999998, 23.821082000000001) to (90.361475999999996, 23.820602999999998)
Step 37 Time : 22 : 39. Cost: 1.181065358073019৳ . Ride Car from (90.361475999999996, 23.820602999999998) to (90.361485999999999, 23.820072000000000)
Step 38 Time : 22 : 40. Cost: 0.911558128664469৳ . Ride Car from (90.361485999999999, 23.820072000000000) to (90.361529000000004, 23.819664000000000)
Step 39 Time : 22 : 41. Cost: 1.625988719447860৳ . Ride Car from (90.361529000000004, 23.819664000000000) to (90.361654999999999, 23.818942000000000)
Step 40 Time : 22 : 42. Cost: 1.047229929801671৳ . Ride Car from (90.361654999999999, 23.818942000000000) to (90.361152000000004, 23.818842000000000)
Step 41 Time : 22 : 43. Cost: 0.394930783754344৳ . Ride Car from (90.361152000000004, 23.818842000000000) to (90.361185000000006, 23.818667000000001)
Step 42 Time : 22 : 44. Cost: 1.009717524569242৳ . Ride Car from (90.361185000000006, 23.818667000000001) to (90.361272000000000, 23.818220000000000)
Step 43 Time : 22 : 45. Cost: 0.663115736916846৳ . Ride Car from (90.361272000000000, 23.818220000000000) to (90.361338000000003, 23.817927999999998)
Step 44 Time : 22 : 46. Cost: 0.658615894460518৳ . Ride Car from (90.361338000000003, 23.817927999999998) to (90.361492999999996, 23.817668000000001)
Step 45 Time : 22 : 47. Cost: 0.632275171733589৳ . Ride Car from (90.361492999999996, 23.817668000000001) to (90.361643000000001, 23.817419000000001)
Step 46 Time : 22 : 48. Cost: 0.579584063770601৳ . Ride Car from (90.361643000000001, 23.817419000000001) to (90.361778999999999, 23.817190000000000)
Step 47 Time : 22 : 49. Cost: 0.660570019460533৳ . Ride Car from (90.361778999999999, 23.817190000000000) to (90.361934000000005, 23.816928999999998)
Step 48 Time : 22 : 50. Cost: 0.574377359880533৳ . Ride Car from (90.361934000000005, 23.816928999999998) to (90.362020000000001, 23.816683000000001)
Step 49 Time : 22 : 51. Cost: 0.640514041742911৳ . Ride Car from (90.362020000000001, 23.816683000000001) to (90.362083999999996, 23.816400999999999)
Step 50 Time : 22 : 52. Cost: 0.620848353173291৳ . Ride Car from (90.362083999999996, 23.816400999999999) to (90.362212999999997, 23.816147999999998)
