Problem:5
Source:  (90.363833000000000, 23.834144999999999)
Destination:  (90.378360000000001, 23.756930000000001)
Step 1 Time : 19 : 14. Cost: 0.130133843049433time . Ride Car from  Cantonment(90.363833000000000, 23.834144999999999) to (90.363827999999998, 23.834340000000001)
Step 2 Time : 19 : 15. Cost: 1.036551393066775time . Ride Car from (90.363827999999998, 23.834340000000001) to (90.365526000000003, 23.834378000000001)
Step 3 Time : 19 : 17. Cost: 0.184261122915179time . Ride Car from (90.365526000000003, 23.834378000000001) to (90.365537000000003, 23.834102000000001)
Step 4 Time : 19 : 18. Cost: 0.282215363198841time . Ride Car from (90.365537000000003, 23.834102000000001) to (90.365538999999998, 23.833679000000000)
Step 5 Time : 19 : 19. Cost: 1.165679273037542time . Ride Car from (90.365538999999998, 23.833679000000000) to (90.367447999999996, 23.833738000000000)
Step 6 Time : 19 : 21. Cost: 1.255555364055238time . Ride Car from (90.367447999999996, 23.833738000000000) to (90.369493000000006, 23.833943999999999)
Step 7 Time : 19 : 23. Cost: 0.103755098155698time . Ride Car from (90.369493000000006, 23.833943999999999) to (90.369663000000003, 23.833942000000000)
Step 8 Time : 19 : 24. Cost: 0.172925073879760time . Ride Car from (90.369663000000003, 23.833942000000000) to (90.369945999999999, 23.833955000000000)
Step 9 Time : 19 : 25. Cost: 0.166610031095561time . Ride Car from (90.369945999999999, 23.833955000000000) to (90.370219000000006, 23.833953000000001)
Step 10 Time : 19 : 26. Cost: 0.182452859109960time . Ride Car from (90.370219000000006, 23.833953000000001) to (90.370517000000007, 23.833974999999999)
Step 11 Time : 19 : 27. Cost: 0.197558554156306time . Ride Car from (90.370517000000007, 23.833974999999999) to (90.370508000000001, 23.834271000000001)
Step 12 Time : 19 : 28. Cost: 0.253904741010748time . Ride Car from (90.370508000000001, 23.834271000000001) to (90.370924000000002, 23.834277000000000)
Step 13 Time : 19 : 29. Cost: 0.178143680574462time . Ride Car from (90.370924000000002, 23.834277000000000) to (90.370926999999995, 23.834009999999999)
Step 14 Time : 19 : 30. Cost: 0.020139019502233time . Ride Car from (90.370926999999995, 23.834009999999999) to (90.370959999999997, 23.834009999999999)
Step 15 Time : 19 : 31. Cost: 0.031734212545031time . Ride Car from (90.370959999999997, 23.834009999999999) to (90.371011999999993, 23.834009999999999)
Step 16 Time : 19 : 32. Cost: 0.234167139874052time . Ride Car from (90.371011999999993, 23.834009999999999) to (90.371178999999998, 23.833694000000001)
Step 17 Time : 19 : 33. Cost: 0.345236484054473time . Ride Car from (90.371178999999998, 23.833694000000001) to (90.371381999999997, 23.833210999999999)
Step 18 Time : 19 : 34. Cost: 0.404739343000353time . Ride Car from (90.371381999999997, 23.833210999999999) to (90.371487000000002, 23.832612000000001)
Step 19 Time : 19 : 35. Cost: 0.117164170540163time . Ride Car from (90.371487000000002, 23.832612000000001) to (90.371454000000000, 23.832439000000001)
Step 20 Time : 19 : 36. Cost: 0.192605885975684time . Ride Car from (90.371454000000000, 23.832439000000001) to (90.371303999999995, 23.832184999999999)
Step 21 Time : 19 : 37. Cost: 0.349789093480294time . Ride Car from (90.371303999999995, 23.832184999999999) to (90.371323000000004, 23.831661000000000)
Step 22 Time : 19 : 38. Cost: 0.303491051167412time . Ride Car from (90.371323000000004, 23.831661000000000) to (90.371379000000005, 23.831209000000001)
Step 23 Time : 19 : 39. Cost: 0.414156669348226time . Ride Car from (90.371379000000005, 23.831209000000001) to (90.371442999999999, 23.830590999999998)
Step 24 Time : 19 : 40. Cost: 0.754231226259327time . Ride Car from (90.371442999999999, 23.830590999999998) to (90.371611000000001, 23.829471000000002)
Step 25 Time : 19 : 41. Cost: 0.142154684906116time . Ride Car from (90.371611000000001, 23.829471000000002) to (90.371842999999998, 23.829452000000000)
Step 26 Time : 19 : 42. Cost: 0.149092647832641time . Ride Car from (90.371842999999998, 23.829452000000000) to (90.372086999999993, 23.829463000000001)
Step 27 Time : 19 : 43. Cost: 0.403722187063807time . Ride Car from (90.372086999999993, 23.829463000000001) to (90.372747000000004, 23.829504000000000)
Step 28 Time : 19 : 44. Cost: 0.342583999023889time . Ride Car from (90.372747000000004, 23.829504000000000) to (90.373292000000006, 23.829626999999999)
Step 29 Time : 19 : 45. Cost: 0.696875144270642time . Ride Car from (90.373292000000006, 23.829626999999999) to (90.374410999999995, 23.829834999999999)
Step 30 Time : 19 : 46. Cost: 0.434765380493300time . Ride Car from (90.374410999999995, 23.829834999999999) to (90.375111000000004, 23.829955999999999)
Step 31 Time : 19 : 47. Cost: 0.149525317325489time . Ride Car from (90.375111000000004, 23.829955999999999) to (90.375353000000004, 23.829991000000000)
Step 32 Time : 19 : 48. Cost: 1.047245114516194time . Ride Car from (90.375353000000004, 23.829991000000000) to (90.377046000000007, 23.830247000000000)
Step 33 Time : 19 : 50. Cost: 0.430261857630948time . Ride Car from (90.377046000000007, 23.830247000000000) to (90.377463000000006, 23.829726999999998)
Step 34 Time : 19 : 51. Cost: 0.034895629391870time . Ride Car from (90.377463000000006, 23.829726999999998) to (90.377482999999998, 23.829678000000001)
Step 35 Time : 19 : 52. Cost: 1.064752250105856time . Ride Car from (90.377482999999998, 23.829678000000001) to (90.378262000000007, 23.828250000000001)
Step 36 Time : 19 : 54. Cost: 0.698213659190831time . Ride Car from (90.378262000000007, 23.828250000000001) to (90.379399000000006, 23.828365999999999)
Step 37 Time : 19 : 55. Cost: 0.366381095291051time . Ride Car from (90.379399000000006, 23.828365999999999) to (90.379918000000004, 23.828090000000000)
Step 38 Time : 19 : 56. Cost: 0.685704134132021time . Ride Car from (90.379918000000004, 23.828090000000000) to (90.380797999999999, 23.827451000000000)
Step 39 Time : 19 : 57. Cost: 0.641172213900334time . Ride Car from (90.380797999999999, 23.827451000000000) to (90.381737000000001, 23.827020000000001)
Step 40 Time : 19 : 58. Cost: 0.554768438285001time . Ride Car from (90.381737000000001, 23.827020000000001) to (90.382636000000005, 23.826896999999999)
Step 41 Time : 19 : 59. Cost: 0.691972858551571time . Ride Car from (90.382636000000005, 23.826896999999999) to (90.383767000000006, 23.826969999999999)
Step 42 Time : 20 : 0. Cost: 0.575140715439121time . Ride Car from (90.383767000000006, 23.826969999999999) to (90.384390999999994, 23.826324000000000)
Step 43 Time : 20 : 1. Cost: 0.165051087243755time . Ride Car from (90.384390999999994, 23.826324000000000) to (90.384600000000006, 23.826167000000002)
Step 44 Time : 20 : 2. Cost: 0.328121285188801time . Ride Car from (90.384600000000006, 23.826167000000002) to (90.385131000000001, 23.826090000000001)
Step 45 Time : 20 : 3. Cost: 0.067692103317527time . Ride Car from (90.385131000000001, 23.826090000000001) to (90.385240999999994, 23.826077000000002)
Step 46 Time : 20 : 4. Cost: 0.121382596471584time . Ride Car from (90.385240999999994, 23.826077000000002) to (90.385437999999994, 23.826101999999999)
Step 47 Time : 20 : 5. Cost: 0.452289323921157time . Ride Car from (90.385437999999994, 23.826101999999999) to (90.386178999999998, 23.826091999999999)
Step 48 Time : 20 : 6. Cost: 0.360581572361960time . Ride Car from (90.386178999999998, 23.826091999999999) to (90.386666000000005, 23.826398000000001)
Step 49 Time : 20 : 7. Cost: 0.189236614300731time . Ride Car from (90.386666000000005, 23.826398000000001) to (90.386803999999998, 23.826651999999999)
Step 50 Time : 20 : 8. Cost: 0.523472368946357time . Ride Car from (90.386803999999998, 23.826651999999999) to (90.386769999999999, 23.827435999999999)
Step 51 Time : 20 : 9. Cost: 0.344313406621353time . Ride Car from (90.386769999999999, 23.827435999999999) to (90.387326999999999, 23.827518000000001)
