
Problem no : 6
Source:  (90.370000000000005, 23.789999999999999)
Destination:  (90.450000000000003, 23.750000000000000)
Step 1 Time : 9 : 30. Cost: 0৳ . Walk from Source (90.370000000000005, 23.789999999999999) to (90.370085000000003, 23.789909999999999)
Step 2 Time : 9 : 31. Cost: 1.147872038154054৳ .  Ride Car from (90.370085000000003, 23.789909999999999) to (90.370343000000005, 23.789451000000000)
Step 3 Time : 9 : 32. Cost: 0.749415390723266৳ . Ride Car from (90.370343000000005, 23.789451000000000) to (90.370684999999995, 23.789576000000000)
Step 4 Time : 9 : 33. Cost: 1.186270411180407৳ . Ride Car from (90.370684999999995, 23.789576000000000) to (90.371253999999993, 23.789691999999999)
Step 5 Time : 9 : 34. Cost: 0.577675218828148৳ . Ride Car from (90.371253999999993, 23.789691999999999) to (90.371508000000006, 23.789808000000001)
Step 6 Time : 9 : 35. Cost: 0.218364402838788৳ . Ride Car from (90.371508000000006, 23.789808000000001) to (90.371606000000000, 23.789847999999999)
Step 7 Time : 9 : 36. Cost: 0.745190909923397৳ . Ride Car from (90.371606000000000, 23.789847999999999) to (90.371898999999999, 23.790049000000000)
Step 8 Time : 9 : 37. Cost: 0.330968166464350৳ . Ride Car from (90.371898999999999, 23.790049000000000) to (90.372033999999999, 23.790132000000000)
Step 9 Time : 9 : 38. Cost: 0.304945875564621৳ . Ride Car from (90.372033999999999, 23.790132000000000) to (90.372176999999994, 23.790172999999999)
Step 10 Time : 9 : 39. Cost: 1.193590021382932৳ . Ride Car from (90.372176999999994, 23.790172999999999) to (90.372761999999994, 23.790212000000000)
Step 11 Time : 9 : 40. Cost: 0.352549409915800৳ . Ride Car from (90.372761999999994, 23.790212000000000) to (90.372934000000001, 23.790192999999999)
Step 12 Time : 9 : 41. Cost: 0.668405204617060৳ . Ride Car from (90.372934000000001, 23.790192999999999) to (90.373261999999997, 23.790177000000000)
Step 13 Time : 9 : 42. Cost: 1.155894482293345৳ . Ride Car from (90.373261999999997, 23.790177000000000) to (90.373829999999998, 23.790171999999998)
Step 14 Time : 9 : 43. Cost: 0.827046642574829৳ . Ride Car from (90.373829999999998, 23.790171999999998) to (90.374235999999996, 23.790189000000002)
Step 15 Time : 9 : 44. Cost: 0.559912404507233৳ . Ride Car from (90.374235999999996, 23.790189000000002) to (90.374510000000001, 23.790165999999999)
Step 16 Time : 9 : 45. Cost: 0.393647393457479৳ . Ride Car from (90.374510000000001, 23.790165999999999) to (90.374702999999997, 23.790178000000001)
Step 17 Time : 9 : 46. Cost: 0.067211660633423৳ . Ride Car from (90.374702999999997, 23.790178000000001) to (90.374699000000007, 23.790208000000000)
Step 18 Time : 9 : 47. Cost: 0.204323038665034৳ . Ride Car from (90.374699000000007, 23.790208000000000) to (90.374797000000001, 23.790227999999999)
Step 19 Time : 9 : 48. Cost: 1.040029474964250৳ . Ride Car from (90.374797000000001, 23.790227999999999) to (90.375286000000003, 23.790364000000000)
Step 20 Time : 9 : 49. Cost: 0.971904604180447৳ . Ride Car from (90.375286000000003, 23.790364000000000) to   shewra para (90.375743000000000, 23.790490999999999)
Step 21 Time : 9 : 50. Cost: 0.060782345619220৳ . Ride Metro from   shewra para(90.375743000000000, 23.790490999999999) to (90.375786000000005, 23.790389000000001)
Step 22 Time : 9 : 55. Cost: 0.220573789126373৳ . Ride Metro from (90.375786000000005, 23.790389000000001) to (90.375947999999994, 23.790020999999999)
Step 23 Time : 10 : 0. Cost: 0.224621295327627৳ . Ride Metro from (90.375947999999994, 23.790020999999999) to (90.376114999999999, 23.789646999999999)
Step 24 Time : 10 : 5. Cost: 0.024050516041976৳ . Ride Metro from (90.376114999999999, 23.789646999999999) to (90.376132999999996, 23.789607000000000)
Step 25 Time : 10 : 10. Cost: 0.216261503006906৳ . Ride Metro from (90.376132999999996, 23.789607000000000) to (90.376294000000001, 23.789247000000000)
Step 26 Time : 10 : 15. Cost: 0.215064270259482৳ . Ride Metro from (90.376294000000001, 23.789247000000000) to (90.376442999999995, 23.788885000000001)
Step 27 Time : 10 : 20. Cost: 0.125654382024310৳ . Ride Metro from (90.376442999999995, 23.788885000000001) to (90.376536999999999, 23.788675999999999)
Step 28 Time : 10 : 25. Cost: 0.071444297411606৳ . Ride Metro from (90.376536999999999, 23.788675999999999) to (90.376589999999993, 23.788557000000001)
Step 29 Time : 10 : 30. Cost: 0.247067250398191৳ . Ride Metro from (90.376589999999993, 23.788557000000001) to (90.376772000000003, 23.788145000000000)
Step 30 Time : 10 : 35. Cost: 0.034853968287513৳ . Ride Metro from (90.376772000000003, 23.788145000000000) to (90.376797999999994, 23.788087000000001)
Step 31 Time : 10 : 40. Cost: 0.475056429042026৳ . Ride Metro from (90.376797999999994, 23.788087000000001) to (90.377143000000004, 23.787292999999998)
Step 32 Time : 10 : 45. Cost: 0.033260760352949৳ . Ride Metro from (90.377143000000004, 23.787292999999998) to (90.377166000000003, 23.787237000000001)
Step 33 Time : 10 : 50. Cost: 0.312681194718973৳ . Ride Metro from (90.377166000000003, 23.787237000000001) to (90.377392000000000, 23.786714000000000)
Step 34 Time : 10 : 55. Cost: 0.111984024485741৳ . Ride Metro from (90.377392000000000, 23.786714000000000) to (90.377471000000000, 23.786525999999999)
Step 35 Time : 11 : 0. Cost: 0.138103923473007৳ . Ride Metro from (90.377471000000000, 23.786525999999999) to (90.377567999999997, 23.786294000000002)
Step 36 Time : 11 : 5. Cost: 0.316089075371828৳ . Ride Metro from (90.377567999999997, 23.786294000000002) to (90.377790000000005, 23.785762999999999)
Step 37 Time : 11 : 10. Cost: 0.259669078254735৳ . Ride Metro from (90.377790000000005, 23.785762999999999) to (90.377972999999997, 23.785326999999999)
Step 38 Time : 11 : 15. Cost: 0.128612856829769৳ . Ride Metro from (90.377972999999997, 23.785326999999999) to (90.378068999999996, 23.785112999999999)
Step 39 Time : 11 : 20. Cost: 0.101521086445846৳ . Ride Metro from (90.378068999999996, 23.785112999999999) to (90.378135999999998, 23.784941000000000)
Step 40 Time : 11 : 25. Cost: 0.100474396339106৳ . Ride Metro from (90.378135999999998, 23.784941000000000) to (90.378202999999999, 23.784770999999999)
Step 41 Time : 11 : 30. Cost: 0.180628330890368৳ . Ride Metro from (90.378202999999999, 23.784770999999999) to (90.378302000000005, 23.784458999999998)
Step 42 Time : 11 : 35. Cost: 0.365277965938326৳ . Ride Metro from (90.378302000000005, 23.784458999999998) to (90.378501999999997, 23.783828000000000)
Step 43 Time : 11 : 40. Cost: 0.244195605473272৳ . Ride Metro from (90.378501999999997, 23.783828000000000) to   Taltola (90.378656000000007, 23.783411999999998)
Step 44 Time : 11 : 45. Cost: 0.056954779971394৳ . Ride Metro from   Taltola(90.378656000000007, 23.783411999999998) to (90.378692000000001, 23.783315000000002)
Step 45 Time : 11 : 50. Cost: 0.227294909397635৳ . Ride Metro from (90.378692000000001, 23.783315000000002) to (90.378826000000004, 23.782924999999999)
Step 46 Time : 11 : 55. Cost: 0.086278244105820৳ . Ride Metro from (90.378826000000004, 23.782924999999999) to (90.378877000000003, 23.782776999999999)
Step 47 Time : 12 : 0. Cost: 0.569056335787183৳ . Ride Metro from (90.378877000000003, 23.782776999999999) to (90.379181000000003, 23.781791999999999)
Step 48 Time : 12 : 5. Cost: 0.089432088384435৳ . Ride Metro from (90.379181000000003, 23.781791999999999) to (90.379227999999998, 23.781637000000000)
Step 49 Time : 12 : 10. Cost: 0.680457704450200৳ . Ride Metro from (90.379227999999998, 23.781637000000000) to (90.379582999999997, 23.780456999999998)
Step 50 Time : 12 : 15. Cost: 0.016760857063463৳ . Ride Metro from (90.379582999999997, 23.780456999999998) to (90.379592000000002, 23.780428000000001)
Step 51 Time : 12 : 20. Cost: 0.610109438347977৳ . Ride Metro from (90.379592000000002, 23.780428000000001) to (90.379893999999993, 23.779366000000000)
Step 52 Time : 12 : 25. Cost: 0.369417175883825৳ . Ride Metro from (90.379893999999993, 23.779366000000000) to (90.380077000000000, 23.778722999999999)
Step 53 Time : 12 : 30. Cost: 0.671416887634326৳ . Ride Metro from (90.380077000000000, 23.778722999999999) to (90.380443999999997, 23.777563000000001)
