Problem no : 1
Source:  (90.3638, 23.8341)
Destination:  (90.3784, 23.7569)
Step 1 Cost: 0.591560507414943৳ . Ride Car from (90.363833000000000, 23.834144999999999) to (90.363832000000002, 23.833879000000000)
Step 2 Cost: 0.749397663962803৳ . Ride Car from (90.363832000000002, 23.833879000000000) to (90.363860000000003, 23.833542999999999)
Step 3 Cost: 2.924461239369444৳ . Ride Car from (90.363860000000003, 23.833542999999999) to (90.363853000000006, 23.832228000000001)
Step 4 Cost: 0.326938400599737৳ . Ride Car from (90.363853000000006, 23.832228000000001) to (90.363855000000001, 23.832080999999999)
Step 5 Cost: 0.060045260386579৳ . Ride Car from (90.363855000000001, 23.832080999999999) to (90.363855000000001, 23.832053999999999)
Step 6 Cost: 0.505156854984113৳ . Ride Car from (90.363855000000001, 23.832053999999999) to (90.363845999999995, 23.831827000000001)
Step 7 Cost: 0.409445028543111৳ . Ride Car from (90.363845999999995, 23.831827000000001) to (90.363838999999999, 23.831643000000000)
Step 8 Cost: 0.427472835993016৳ . Ride Car from (90.363838999999999, 23.831643000000000) to (90.363828999999996, 23.831451000000001)
Step 9 Cost: 0.563473170346314৳ . Ride Car from (90.363828999999996, 23.831451000000001) to (90.363814000000005, 23.831198000000001)
Step 10 Cost: 1.595346084001640৳ . Ride Car from (90.363814000000005, 23.831198000000001) to (90.363838999999999, 23.830480999999999)
Step 11 Cost: 2.275099189387262৳ . Ride Car from (90.363838999999999, 23.830480999999999) to (90.363889000000000, 23.829459000000000)
Step 12 Cost: 3.495322491183237৳ . Ride Car from (90.363889000000000, 23.829459000000000) to (90.364166999999995, 23.827908000000001)
Step 13 Cost: 0.138353000235133৳ . Ride Car from (90.364166999999995, 23.827908000000001) to (90.364234999999994, 23.827908999999998)
Step 14 Cost: 0.166842007653698৳ . Ride Car from (90.364234999999994, 23.827908999999998) to (90.364237000000003, 23.827833999999999)
Step 15 Cost: 1.096751839126845৳ . Ride Car from (90.364237000000003, 23.827833999999999) to (90.364250999999996, 23.827341000000001)
Step 16 Cost: 1.321503166662812৳ . Ride Car from (90.364250999999996, 23.827341000000001) to (90.364268999999993, 23.826747000000001)
Step 17 Cost: 0.687428517825770৳ . Ride Car from (90.364268999999993, 23.826747000000001) to (90.364277999999999, 23.826438000000000)
Step 18 Cost: 0.124554932645951৳ . Ride Car from (90.364277999999999, 23.826438000000000) to (90.364278999999996, 23.826381999999999)
Step 19 Cost: 0.431441111709886৳ . Ride Car from (90.364278999999996, 23.826381999999999) to (90.364279999999994, 23.826187999999998)
Step 20 Cost: 1.100837292923059৳ . Ride Car from (90.364279999999994, 23.826187999999998) to (90.364282000000003, 23.825693000000001)
Step 21 Cost: 1.100859850296227৳ . Ride Car from (90.364282000000003, 23.825693000000001) to (90.364286000000007, 23.825198000000000)
Step 22 Cost: 0.195703070898076৳ . Ride Car from (90.364286000000007, 23.825198000000000) to (90.364286000000007, 23.825109999999999)
Step 23 Cost: 0.342486416286066৳ . Ride Car from (90.364286000000007, 23.825109999999999) to (90.364287000000004, 23.824956000000000)
Step 24 Cost: 0.599227568416447৳ . Ride Car from (90.364287000000004, 23.824956000000000) to (90.364304000000004, 23.824687000000001)
Step 25 Cost: 0.394265643295851৳ . Ride Car from (90.364304000000004, 23.824687000000001) to (90.364315000000005, 23.824510000000000)
Step 26 Cost: 1.374437362277912৳ . Ride Car from (90.364315000000005, 23.824510000000000) to (90.364354000000006, 23.823893000000002)
Step 27 Cost: 0.418805062892317৳ . Ride Car from (90.364354000000006, 23.823893000000002) to (90.364366000000004, 23.823705000000000)
Step 28 Cost: 2.148568730196322৳ . Ride Car from (90.364366000000004, 23.823705000000000) to (90.364417000000003, 23.822740000000000)
Step 29 Cost: 0.053721385393118৳ . Ride Car from (90.364417000000003, 23.822740000000000) to (90.364419999999996, 23.822716000000000)
Step 30 Cost: 0.155072237549087৳ . Ride Car from (90.364419999999996, 23.822716000000000) to (90.364430999999996, 23.822647000000000)
Step 31 Cost: 0.922408566152416৳ . Ride Car from (90.364430999999996, 23.822647000000000) to (90.364491999999998, 23.822236000000000)
Step 32 Cost: 0.195235421050150৳ . Ride Car from (90.364491999999998, 23.822236000000000) to (90.364515999999995, 23.822151000000002)
Step 33 Cost: 1.257014074036290৳ . Ride Car from (90.364515999999995, 23.822151000000002) to (90.364662999999993, 23.821601999999999)
Step 34 Cost: 1.130951841112633৳ . Ride Car from (90.364662999999993, 23.821601999999999) to (90.364795000000001, 23.821107999999999)
Step 35 Cost: 0.552032454149261৳ . Ride Car from (90.364795000000001, 23.821107999999999) to (90.364859999999993, 23.820867000000000)
Step 36 Cost: 0.526336432598916৳ . Ride Car from (90.364859999999993, 23.820867000000000) to (90.364920999999995, 23.820637000000001)
Step 37 Cost: 0.082604840353539৳ . Ride Car from (90.364920999999995, 23.820637000000001) to (90.364930999999999, 23.820601000000000)
Step 38 Cost: 0.654558970652479৳ . Ride Car from (90.364930999999999, 23.820601000000000) to (90.365007000000006, 23.820315000000001)
Step 39 Cost: 0.577245341567824৳ . Ride Car from (90.365007000000006, 23.820315000000001) to (90.365075000000004, 23.820063000000001)
Step 40 Cost: 0.545068039910828৳ . Ride Car from (90.365075000000004, 23.820063000000001) to (90.365138999999999, 23.819825000000002)
Step 41 Cost: 0.544585685951802৳ . Ride Car from (90.365138999999999, 23.819825000000002) to (90.365201999999996, 23.819586999999999)
Step 42 Cost: 1.165774340971531৳ . Ride Car from (90.365201999999996, 23.819586999999999) to (90.365339000000006, 23.819078000000001)
Step 43 Cost: 0.052586082648221৳ . Ride Car from (90.365339000000006, 23.819078000000001) to (90.365345000000005, 23.819054999999999)
Step 44 Cost: 0.249481752127198৳ . Ride Car from (90.365345000000005, 23.819054999999999) to (90.365374000000003, 23.818946000000000)
Step 45 Cost: 0.945145042785370৳ . Ride Car from (90.365374000000003, 23.818946000000000) to (90.365487999999999, 23.818534000000000)
Step 46 Cost: 1.213361758666186৳ . Ride Car from (90.365487999999999, 23.818534000000000) to (90.365634000000000, 23.818004999999999)
Step 47 Cost: 1.224641494008118৳ . Ride Car from (90.365634000000000, 23.818004999999999) to (90.365780999999998, 23.817471000000001)
Step 48 Cost: 0.800338198197805৳ . Ride Car from (90.365780999999998, 23.817471000000001) to (90.365876999999998, 23.817122000000001)
Step 49 Cost: 0.369068671343544৳ . Ride Car from (90.365876999999998, 23.817122000000001) to (90.365921000000000, 23.816960999999999)
Step 50 Cost: 1.142037284275103৳ . Ride Car from (90.365921000000000, 23.816960999999999) to (90.366057999999995, 23.816462999999999)
Step 51 Cost: 0.929056323303439৳ . Ride Car from (90.366057999999995, 23.816462999999999) to (90.366169999999997, 23.816058000000002)
Step 52 Cost: 0.254286537116169৳ . Ride Car from (90.366169999999997, 23.816058000000002) to (90.366200000000006, 23.815947000000001)
Step 53 Cost: 0.419005791620038৳ . Ride Car from (90.366200000000006, 23.815947000000001) to (90.366248999999996, 23.815764000000001)
Step 54 Cost: 0.811126659989350৳ . Ride Car from (90.366248999999996, 23.815764000000001) to (90.366344999999995, 23.815410000000000)
Step 55 Cost: 0.643761002212090৳ . Ride Car from (90.366344999999995, 23.815410000000000) to (90.366421000000003, 23.815128999999999)
Step 56 Cost: 0.453342757399528৳ . Ride Car from (90.366421000000003, 23.815128999999999) to (90.366473999999997, 23.814931000000001)
Step 57 Cost: 0.865870099481478৳ . Ride Car from (90.366473999999997, 23.814931000000001) to (90.366575999999995, 23.814553000000000)
Step 58 Cost: 0.329925095212953৳ . Ride Car from (90.366575999999995, 23.814553000000000) to (90.366614999999996, 23.814409000000001)
Step 59 Cost: 1.072379147958235৳ . Ride Car from (90.366614999999996, 23.814409000000001) to (90.366742000000002, 23.813941000000000)
Step 60 Cost: 1.255345121388881৳ . Ride Car from (90.366742000000002, 23.813941000000000) to (90.366889999999998, 23.813393000000001)
Step 61 Cost: 0.114785222265794৳ . Ride Car from (90.366889999999998, 23.813393000000001) to (90.366904000000005, 23.813343000000000)
Step 62 Cost: 0.627672688937000৳ . Ride Car from (90.366904000000005, 23.813343000000000) to (90.366978000000003, 23.813068999999999)
Step 63 Cost: 0.233394531537357৳ . Ride Car from (90.366978000000003, 23.813068999999999) to (90.367005000000006, 23.812967000000000)
Step 64 Cost: 0.304712506883347৳ . Ride Car from (90.367005000000006, 23.812967000000000) to (90.367041000000000, 23.812833999999999)
Step 65 Cost: 0.806321381251436৳ . Ride Car from (90.367041000000000, 23.812833999999999) to (90.367136000000002, 23.812481999999999)
Step 66 Cost: 1.081015701003992৳ . Ride Car from (90.367136000000002, 23.812481999999999) to (90.367262999999994, 23.812010000000001)
Step 67 Cost: 1.218363189729353৳ . Ride Car from (90.367262999999994, 23.812010000000001) to (90.367406000000003, 23.811478000000001)
Step 68 Cost: 0.645921140261882৳ . Ride Car from (90.367406000000003, 23.811478000000001) to (90.367481999999995, 23.811195999999999)
Step 69 Cost: 0.499450308804096৳ . Ride Car from (90.367481999999995, 23.811195999999999) to (90.367541000000003, 23.810977999999999)
Step 70 Cost: 1.096620167763629৳ . Ride Car from (90.367541000000003, 23.810977999999999) to (90.367669000000006, 23.810499000000000)
Step 71 Cost: 0.089573126784363৳ . Ride Car from (90.367669000000006, 23.810499000000000) to (90.367679999999993, 23.810459999999999)
Step 72 Cost: 1.139749160563191৳ . Ride Car from (90.367679999999993, 23.810459999999999) to (90.367821000000006, 23.809964000000001)
Step 73 Cost: 0.279995795522091৳ . Ride Car from (90.367821000000006, 23.809964000000001) to (90.367855000000006, 23.809842000000000)
Step 74 Cost: 0.976693886624403৳ . Ride Car from (90.367855000000006, 23.809842000000000) to (90.367975999999999, 23.809417000000000)
Step 75 Cost: 0.270873454885448৳ . Ride Car from (90.367975999999999, 23.809417000000000) to (90.368009000000001, 23.809298999999999)
Step 76 Cost: 0.930065881897521৳ . Ride Car from (90.368009000000001, 23.809298999999999) to (90.368122999999997, 23.808893999999999)
